retrouver,14
collégien,14
état,14
protéger,14
Takenaka,14
papier,14
chacun,14
beau,14
enfermer,14
lancer,14
génial,14
connaissance,14
prononcer,14
parole,14
directement,14
journée,14
valoir,14
surprise,14
marcher,14
cent,13
période,13
choix,13
remplir,13
prétexte,13
enseigner,13
Masayoshi,13
expérience,13
nuit,13
appel,13
personnel,13
haine,13
Oh,13
noir,13
quitter,13
sac,13
autant,13
attirer,13
contraire,13
mesure,13
noyer,13
génie,13
page,13
bout,13
délégué,13
supérette,13
hikikomori,13
honte,13
secondaire,12
grâce,12
laboratoire,12
expliquer,12
événement,12
calme,12
propos,12
ici,12
ignorer,12
personnellement,12
répéter,12
règle,12
malgré,12
rapport,12
physique,12
sérieux,12
contaminer,12
longtemps,12
toute,12
joue,12
base,12
manquer,12
loi,12
responsabilité,12
décevoir,12
éclater,12
manuel,12
scientifique,12
cuisine,12
proposer,12
retour,12
lourd,12
crier,12
œil,12
foutre,12
courir,12
phrase,12
peiner,12
crever,12
châtier,12
ancien,12
douter,12
néanmoins,11
film,11
public,11
boîte,11
adulte,11
quatrième,11
concours,11
éducation,11
époque,11
conscience,11
simple,11
reprendre,11
confiance,11
général,11
rappeler,11
obliger,11
permettre,11
été,11
choc,11
habiter,11
donne,11
oreille,11
commercial,11
chocolat,11
croiser,11
tour,11
feuille,11
vêtement,11
minute,11
attraper,11
image,11
dangereux,11
téléphoner,11
immédiatement,11
reconnaître,11
remercier,11
vue,11
inquiéter,11
suivant,11
tennis,11
sonner,11
laver,11
découvrir,11
vieux,11
couper,11
bulle,11
hurler,11
ouais,11
cible,11
marécage,11
casier,10
santé,10
supérieur,10
système,10
combien,10
effectivement,10
également,10
auprès,10
cinquième,10
effet,10
chimie,10
bref,10
métier,10
lycée,10
près,10
limite,10
quatre,10
fameux,10
souvent,10
plaire,10
réellement,10
erreur,10
quartier,10
accord,10
plupart,10
traiter,10
provoquer,10
difficile,10
téléphone,10
responsable,10
risquer,10
grave,10
entier,10
marier,10
terrible,10
attitude,10
humain,10
bain,10
papa,10
inscrire,10
Muku,10
secret,10
offrir,10
hein,10
vérifier,10
condamner,10
approcher,10
occuper,10
tendre,10
